ID,Title,Content,Acceptance Criteria,Review Requirements,State,Labels,Related Files
15,Issue #4184 Fix (DefaultBuilder minimal-diff refactor),"Refactor DefaultBuilder resolver chaining to reuse original naming/structure (e.g., finalResolver) with clarifying comments; avoid unnecessary renames while preserving behavior.","1. ✅ Use finalResolver naming consistent with prior pattern
2. ✅ No behavior change (skills resolver still chained; toolNames + AgentToolNode use it)
3. ✅ Module compiles",Code review: diff size and readability,待评审,"refactor,bug,fix,issue-4184,agent-framework",spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/DefaultBuilder.java;docs/_history.md;docs/feature.csv;docs/feature/feature-04-issue-4184-fix-options.md
16,Issue #4184 FullAgentTest constant fix,Fix Issue4184FullAgentTest to avoid referencing removed SkillsAgentHook constants; validate HITL interception + tool resolution after clearing toolCallbacks.,"1. ✅ Issue4184FullAgentTest compiles
2. ✅ No reference to removed SkillsAgentHook.SKILL_TOOLS_KEY
3. ✅ The scenario assertions remain accurate (HITL intercepts read_skill; resume succeeds after toolCallbacks cleared)",Code review: example correctness and assertions,待评审,"bug,refactor,issue-4184,examples",examples/studio-cors-conditional-it/src/main/java/com/alibaba/cloud/ai/examples/studiocorsconditionalit/Issue4184FullAgentTest.java;docs/_history.md;docs/feature.csv
17,Issue4184FullAgentTest reduce noisy skills prompt,Avoid printing full skills system prompt by default when running Issue4184FullAgentTest; keep a verbose toggle for debugging.,"1. ✅ Default run does not print Skills System section
2. ✅ Verbose logs available with -Dissue4184.verbose=true
3. ✅ Module compiles",Review: runnable output readability,待评审,"chore,examples,issue-4184",examples/studio-cors-conditional-it/src/main/java/com/alibaba/cloud/ai/examples/studiocorsconditionalit/Issue4184FullAgentTest.java;docs/_history.md;docs/feature.csv
18,Issue4184FullAgentTest verify read_skill execution,Strengthen Issue4184FullAgentTest to assert read_skill actually executes and returns the expected skill content (not just compilation).,"1. ✅ The runnable asserts HITL intercepts read_skill
2. ✅ After resume, it finds ToolResponse by call id + tool name
3. ✅ Tool response matches SkillRegistry.readSkillContent(\pdf-extractor\"") (normalize JSON-string responseData)"
"4. ✅ Can be executed via mvn exec:java""",Review: assertion strength and false positives,待评审,"test,examples,issue-4184",examples/studio-cors-conditional-it/src/main/java/com/alibaba/cloud/ai/examples/studiocorsconditionalit/Issue4184FullAgentTest.java;docs/_history.md;docs/feature.csv
19,Fix flaky timeout cancellation test,Stabilize CancellableAsyncToolCallback timeout test by avoiding ForkJoinPool.commonPool scheduling/starvation.,1. ✅ `./mvnw -pl spring-ai-alibaba-agent-framework test` passes; 2. ✅ TimeoutScenarioTests no longer relies on common pool scheduling.,Review: test determinism and thread behavior,已完成,"test,bug,agent-framework",spring-ai-alibaba-agent-framework/src/test/java/com/alibaba/cloud/ai/graph/agent/tool/CancellableAsyncToolCallbackTest.java;docs/feature/feature-09-fix-agent-framework-test-flake.md;docs/_history.md;docs/feature.csv
20,Sandbox Simple Tool usage & verification review,"Analyze examples/sandbox-simple-tool usage, verification steps, and whether the sample truly exercises sandbox execution.","1. ✅ Usage steps cover required env/Docker and startup
2. ✅ Verification includes sandbox-specific checks (containers/logs/tool execution)
3. ✅ Analysis explains whether sandbox is actually used and how to prove it",Review: accuracy of usage/verification guidance,等待确认,"docs,examples,sandbox,analysis",docs/feature/feature-10-sandbox-simple-tool-usage-review.md;docs/_history.md;docs/feature.csv
21,Sandbox Simple Tool docker host config,Ensure sandbox.docker.host uses Unix socket to match Docker Desktop default and avoid localhost:2375 connection errors.,"1. ✅ application.yml sets sandbox.docker.host to unix:///var/run/docker.sock
2. ✅ Feature doc records the config change and verification steps",Config review: verify docker host value and startup behavior,待评审,"examples,sandbox,config",examples/sandbox-simple-tool/src/main/resources/application.yml;docs/feature/feature-11-sandbox-docker-host-unix-socket.md;docs/_history.md;docs/feature.csv
21,Merge main into bugfix-lose-skills,Merge local main into current branch and resolve DefaultBuilder conflict while keeping skills resolver chain and main refactor.,"1. ✅ Merge local main into current branch
2. ✅ Resolve DefaultBuilder conflict with skills resolver chain + refactor retained
3. ✅ Create merge commit",Code review: conflict resolution correctness,已完成,"merge,process,agent-framework",spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/DefaultBuilder.java;docs/feature/feature-11-merge-main-into-branch.md;docs/_history.md;docs/feature.csv
22,DefaultBuilder format sync,Align DefaultBuilder resolver chaining changes with main formatting and naming; avoid unnecessary diff while preserving behavior.,"1. ✅ DefaultBuilder uses effective resolver naming consistently
2. ✅ Imports/blank lines align with main style
3. ✅ No behavior change in resolver chaining",Code review: diff size and readability,待评审,"refactor,style,issue-4184,agent-framework",spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/DefaultBuilder.java;docs/feature/feature-12-defaultbuilder-format-sync.md;docs/_history.md;docs/feature.csv
23,DefaultBuilder restore this.resolver usage,Restore visible usage of this.resolver in DefaultBuilder while keeping skills resolver chaining effective.,"1. ✅ this.resolver referenced in build and gatherLocalTools
2. ✅ Resolver chaining still applied when SkillsAgentHook is present
3. ✅ No functional regression introduced",Code review: behavior equivalence and side effects,待评审,"refactor,style,issue-4184,agent-framework",spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/DefaultBuilder.java;docs/feature/feature-12-defaultbuilder-format-sync.md;docs/_history.md;docs/feature.csv
24,Studio CORS IT use local SNAPSHOT deps,Align examples/studio-cors-conditional-it to local 1.1.3.0-SNAPSHOT so DefaultBuilder changes are picked up after mvn install.,1. examples/studio-cors-conditional-it uses 1.1.3.0-SNAPSHOT for spring-ai-alibaba deps; 2. Tests/IT resolve local SNAPSHOT artifacts from ~/.m2,Review: verify dependency version alignment and local install resolution,等待确认,"build,examples,dependency",examples/studio-cors-conditional-it/pom.xml;docs/feature/feature-13-studio-cors-it-use-local-snapshot-deps.md;docs/_history.md;docs/feature.csv
25,Studio CORS IT sandbox dependency fix,Replace missing spring-ai-alibaba-sandbox-tool dependency with local spring-ai-alibaba-sandbox for 1.1.3.0-SNAPSHOT.,1. examples/studio-cors-conditional-it depends on spring-ai-alibaba-sandbox at 1.1.3.0-SNAPSHOT; 2. Maven resolves sandbox dependency from local install,Review: verify sandbox dependency resolution and example build,等待确认,"build,examples,dependency",examples/studio-cors-conditional-it/pom.xml;docs/feature/feature-14-studio-cors-it-sandbox-dep-fix.md;docs/_history.md;docs/feature.csv
26,DefaultBuilder resolver PR fixes (no tests),"Apply PR review fixes excluding tests: chain all SkillsAgentHook resolvers, resolve ToolCallbackResolver once per build, and align read_skill constant with ReadSkillTool.","1. ✅ Multiple SkillsAgentHook instances are all chained (no early break)
2. ✅ ToolCallbackResolver is resolved once per build (no duplicate side effects)
3. ✅ read_skill tool name uses ReadSkillTool.READ_SKILL single source of truth",Code review: resolver chaining behavior and single-resolution flow clarity,待评审,"bug,fix,issue-4184,agent-framework,refactor",spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/DefaultBuilder.java;spring-ai-alibaba-agent-framework/src/main/java/com/alibaba/cloud/ai/graph/agent/hook/skills/SkillToolCallbackResolver.java;docs/feature/feature-15-defaultbuilder-resolver-pr-fixes.md;docs/_history.md;docs/feature.csv
